title,label,description,detail,date
ApsaraDB for PostgreSQL - High-availability Edition with Standard SSDs or ESSDs Supports Data Restoration by Time,New Features,ApsaraDB RDS for PostgreSQL in the High-availability Edition with standard SSDs or enhanced SSDs (ESSDs) supports data restoration by time.,"Target customers: ApsaraDB RDS for PostgreSQL users.
Features released: In addition to data restoration by backup set, ApsaraDB RDS for PostgreSQL in the High-availability Edition with standard SSDs or ESSDs now supports data restoration by time. You can use snapshots and redo logs to restore your instance to a specific point in time within the data retention period. Data restoration by time is ideal when your instance data is lost or damaged due to misoperations, and is faster than data restoration by backup set.",Dec 16 2019
ApsaraDB for PostgreSQL - High-availability Edition with Standard SSDs or ESSDs Supports Temporary Disabling of Primary/Secondary Switchover,New Features,ApsaraDB RDS for PostgreSQL in the High-availability Edition with standard SSDs or enhanced SSDs (ESSDs) allows you to temporarily disable the primary/secondary switchover function in the ApsaraDB for RDS console.,"Target customers: ApsaraDB RDS for PostgreSQL users.
Features released: In the High-availability Edition with standard SSDs or ESSDs, ApsaraDB RDS for PostgreSQL allows you to temporarily disable the primary/secondary switchover function in the following scenarios:
1. Logical replication is enabled. You do not want slots to be lost as a result of primary/secondary switchovers because slot losses cause logical replication exceptions.
2. Slotting is enabled to incrementally replicate or migrate data by using Data Transmission Service (DTS). You do not want slots to be lost as a result of primary/secondary switchovers because slot losses cause data replication or migration exceptions.
3. There are ongoing large tasks, which may mislead the system into considering the primary instance is abnormal and cause the system to initiate primary/secondary switchovers.
After this function is disabled, the system does not switch over services from the primary to secondary instances even if it detects exceptions in the primary instance. This helps ensure system stability and service availability.",Dec 16 2019
ApsaraDB for PostgreSQL - Standard SSDs and ESSDs Support Configuration of Log Retention Policies,New Features,ApsaraDB RDS for PostgreSQL with standard SSDs or enhanced SSDs (ESSDs) allows you to specify the number of log files you want to retain in the rds_max_log_files parameter.,"Target customers: ApsaraDB RDS for PostgreSQL users.
Features released: ApsaraDB RDS for PostgreSQL with standard SSDs or ESSDs allows you to specify the number of log files you want to retain in the rds_max_log_files parameter. Such logs include error logs, SQL audit logs, and slow query logs. You can use the log_fdw plug-in to query logs. A larger value of the rds_max_log_files parameter indicates a longer time range and more storage from which you can query logs.",Dec 16 2019
ApsaraDB for PostgreSQL - Local SSDs Support Subscription of SQL Audit Logs to SLS,New Features,ApsaraDB RDS for PostgreSQL with local SDDs allows SLS to subscribe to its SQL audit logs.,"Target customers: ApsaraDB RDS for PostgreSQL users.
Features released: ApsaraDB RDS for PostgreSQL with local SSDs allows SLS to subscribe to its SQL audit logs, which are then sent to SLS in real time. You can use SLS to analyze the SQL audit logs of your RDS instance.
This function does not support error logs or slow query logs.",Dec 17 2019
ApsaraDB for PostgreSQL - FOR ALL TABLES Clause Available to rds_superuser,New Features,The FOR ALL TABLES clause is released to help the rds_superuser user publish all tables simultaneously for an ApsaraDB RDS for PostgreSQL instance.,"Target customers: ApsaraDB RDS for PostgreSQL users who implement logical replication between tables across databases or instances by using logical subscription or Data Transmission Service (DTS).
Features released: You can log on as the rds_superuser user and use the FOR ALL TABLES clause to include all tables in one publication:
```
CREATE PUBLICATION name
    [ FOR TABLE [ ONLY ] table_name [ * ] [, ...]
      | FOR ALL TABLES ]
    [ WITH ( publication_parameter [= value] [, ... ] ) ]
```
With this clause, you can subscribe to more than one table at a time.
",Dec 17 2019
ApsaraDB for PostgreSQL - Releases log_fdw Plug-In for Querying Real-Time Logs,New Features,The log_fdw plug-in is released to help you query real-time logs of your ApsaraDB RDS for PostgreSQL instance by executing SQL statements.,"Target customers: ApsaraDB RDS for PostgreSQL users.
Features released: You can use the log_fdw plug-in to query real-time error logs, SQL audit logs, and slow query logs of your ApsaraDB RDS for PostgreSQL instance by executing SQL statements.",Dec 17 2019
ApsaraDB for MySQL - MySQL 5.7 and MySQL 8.0 in High-availability Edition with Standard SSDs or ESSDs Support Dedicated Proxy,New Features,ApsaraDB for RDS running MySQL 5.7 or MySQL 8.0 in the High-availability Edition with standard SSDs or enhanced SSDs (ESSDs) support the Dedicated Proxy function.,"Target customers: users whose instances have the following specifications:
1. MySQL 5.7 in the High-availability Edition with standard SSDs
2. MySQL 5.7 in the High-availability Edition with ESSDs
3. MySQL 8.0 in the High-availability Edition with standard SSDs
4. MySQL 8.0 in the High-availability Edition with ESSDs
Features released: ApsaraDB for RDS running MySQL 5.7 or MySQL 8.0 in the High-availability Edition with standard SSDs or ESSDs supports the Dedicated Proxy function.

This function brings the following benefits with its independent computing resources:
1. A proxy endpoint is used to connect to your database system. This reduces maintenance costs by relieving you from the work of updating endpoints for your application. The proxy endpoint remains valid unless you release the proxy instances in the dedicated proxy.
2. The dedicated proxy serves only your database system to ensure service stability. This way, you do not need to compete for resources with other users.
3. The dedicated proxy can be scaled by adding proxy instances to process more requests.
4. The dedicated proxy offers advanced capabilities such as read/write splitting, transaction splitting, and short-lived connection optimization.
",Dec 16 2019
ApsaraDB for Redis - Supports Enabling or Disabling AOF Persistence,New Features,ApsaraDB for Redis allows you to enable or disable the append-only file (AOF) persistence feature.,"Target customers: ApsaraDB for Redis users.
Features released: ApsaraDB for Redis allows you to enable or disable the AOF persistence feature. If the data reliability requirement is not high and the master node needs to provide optimal performance for your workloads, you can disable the AOF persistence feature.",Dec 22 2019
MaxCompute - Supports the Use of Open Source Geospatial Functions,New Features,MaxCompute supports Hive geospatial functions to provide customers with a wider range of functions and computing scenarios.,"Target customers: Alibaba Cloud MaxCompute customers. 
Features released: MaxCompute provides native support for Hive UDFs. ESRI specifically implements a set of open source geospatial UDFs for Apache Hive. All Hive geospatial functions implemented by ESRI can be invoked in MaxCompute.",Dec 24 2019
ApsaraDB for MySQL - Enterprise Edition Supports MySQL 8.0,New Features,The Enterprise Edition supports ApsaraDB RDS for MySQL 8.0 with local SSDs.,"Target customers: users who aim for a low Recovery Point Objective (RPO) in businesses such as finance, government affairs, securities, insurance, and medical care.
Features released: ApsaraDB RDS for MySQL 8.0 in the Enterprise Edition with local SSDs allows you to deploy your primary and secondary instances in three zones to deliver an availability service-level objective (SLO) of 99.99% and an RPO of 0. Data is replicated in synchronous mode between the primary and secondary instances. You can create read-only instances to scale the read capability of your database system. You can also enable the Dedicated Proxy function that offers read/write splitting.",Dec 24 2019
ApsaraDB for PostgreSQL - Supports High-Dimensional Vector Similarity Search,New Features,ApsaraDB RDS for PostgreSQL supports the high-dimensional vector similarity search function.,"Target customers: ApsaraDB RDS for PostgreSQL users in businesses such as image recognition and similarity analysis.
Features released: The high-dimensional vector similarity search function provided by Ant Financial is integrated into ApsaraDB RDS for PostgreSQL as a plug-in to implement the image recognition and search function.
This function is ideal for businesses that rely on face scan payment, public transportation, intelligent building, facial recognition access, and arrival reminders.",Dec 23 2019
ApsaraDB for PostgreSQL - mysql_fdw Plug-In Released for PostgreSQL 11,New Features,The mysql_fdw plug-in is released for ApsaraDB RDS for PostgreSQL 11 to read and write data to MySQL databases by using foreign tables.,"Target customers: ApsaraDB RDS for PostgreSQL users, especially those who use PostgreSQL to analyze MySQL databases.
Features released: With the mysql_fdw plug-in, ApsaraDB RDS for PostgreSQL 11 can directly read and write data to MySQL databases and analyze the data in real time at low costs.",Dec 23 2019
ApsaraDB for PostgreSQL - Standard SSDs and ESSDs Support Resource and Engine Monitoring,New Features,ApsaraDB RDS for PostgreSQL with standard SSDs or enhanced SSDs (ESSDs) supports resource and engine monitoring to help you understand the status of your database system.,"Target customers: ApsaraDB RDS for PostgreSQL users.
Features released: The following resource and engine metrics are released for ApsaraDB RDS for PostgreSQL with standard SSDs or ESSDs:
Remaining disk space
Data disk IOPS
Data disk read/write throughput
Data disk usage
CPU utilization
Bandwidth
Memory usage
Used memory space
",Dec 19 2019
ApsaraDB for PostgreSQL - Security Patch Released for Foreign Tables and Database Links,New Features,A security patch is released for ApsaraDB RDS for PostgreSQL to hide usernames and passwords when you access remote databases by using foreign tables or database links.,"Target customers: ApsaraDB RDS for PostgreSQL users who access external data sources by using foreign tables or database links.
Features released: A security patch is released to make your ApsaraDB RDS for PostgreSQL instance more secure. After you install this patch, you no longer need to specify usernames or passwords when you define foreign tables by using the dblink or postgres_fdw plug-in to access remote databases.",Dec 18 2019
Distributed Relational Database Service - Shard Key Modification Supported,New Features,"You can change the algorithm for Distributed Relational Database Service (DRDS) database and table sharding, and modify the number of sharded tables.","Target customers: database users, distributed database users, users that want to shard databases and tables, developers, Internet enterprises, and users in the finance, insurance, and new retail sectors.
Features released: DRDS supports shard key modification.",Dec 27 2019
Distributed Relational Database Service - Performance Evaluation Supported for DRDS Upgrade,New Features,You can now evaluate the performance of your workloads in a new Distributed Relational Database Service (DRDS) version before you upgrade your DRDS to this version. This feature can efficiently reduce the risks posed by the upgrade.,"Target customers: database users, distributed database users, users who want to shard databases and tables, developers, Internet enterprises, and users in the finance, insurance, and new retail sectors.
Features released: DRDS supports performance evaluation for you to evaluate the performance of your workloads in the new version.",Dec 19 2019
Dataworks - Alibaba Cloud DataWorks V3.0 Released,New Features,"Alibaba Cloud DataWorks V3.0 is released. It supports data development, resource orchestration, and task scheduling using multiple compute engines.","Target customers: users in the Internet, finance, new retail, automobile, intelligent manufacturing, and IoT industries. These users want to use DataWorks in the offline warehousing, real-time warehousing, graph computing, and interactive analytics scenarios.
Features released: 1. Supports data development, task scheduling, and operations and maintenance using multiple types of compute engines, including MaxCompute, Realtime Compute, E-MapReduce, Graph Compute, and Interactive Analytics.
2. Supports cross-region task-dependent scheduling, which makes the scheduling system more flexible.
3. Workspaces support different types of engine instances, which simplifies task and table management.",Dec 19 2019
Threat Detection Service - Tamper Protection Supports Windows Process Whitelist for Dynamic Service Updates,Experience Enhancements,Temper protection allows you to add Windows processes to the whitelist. The processes in the whitelist can update website services dynamically while your website is under protection.,Features released: Temper protection allows you to add Windows processes to the whitelist. The processes in the whitelist can update website services dynamically while your website is under protection.,Jan 02 2020
"Threat Detection Service - Supports Detection for Webshells, Ransomware, External Connections, and Abnormal Processes in Running Containers",New Features,"Security Center now can detect webshells, ransomware, external connections, and abnormal processes in running containers.","Target customers: enterprise users of Container Service.
Features released: Security Center now can detect webshells, ransomware, external connections, and abnormal processes in running containers in real time.

",Dec 31 2019
Threat Detection Service - Provides Security Reports to Trial Users,Experience Enhancements,Security Center provides security reports to trial users to help them better understand the security status of their assets.,"Features released: when the trial period ends, Security Center provides security reports to trial users to help them better understand the security status of their assets and reinforce security protection.",Dec 27 2019
Threat Detection Service - Classified Protection of Cybersecurity Compliance Check Released for Enterprise Users,New Features,This tool helps enterprises check whether they have met the classified protection compliance requirements of cybersecurity.,"Target customers: all Alibaba Cloud enterprise users.
Features released: this tool helps enterprise users check whether they have met the classified protection compliance requirements of cybersecurity. You can run security checks on communication networks, network borders, computing environments, and operations centers. This helps enterprises identify and process security issues and reduce security risks.",Dec 20 2019
Container Service for Kubernetes - Windows Clusters Add Support for Kubernetes 1.14.8,New Features,Windows clusters now support Kubernetes 1.14.8.,"Target customers: users who manage Windows applications.
Features released: you can now select Kubernetes 1.14.8 when you create a Windows cluster.",Dec 31 2019
Container Service for Kubernetes - Adds Support for RAM User Search and Paging on the Authorizations Page,Experience Enhancements,The Authorizations page now allows you to search RAM users and provides paging support.,Features released: the Authorizations page now allows you to search RAM users and provides paging support. This makes it easier to manage a large number of RAM users.,Dec 31 2019
Container Service for Kubernetes - Adds Support for Alibaba Cloud NPU,New Features,Container Service for Kubernetes now supports Alibaba Cloud NPU.,"Target customers: AI and big data users.
Features released: Container Service for Kubernetes now supports ECS instances of NPU type. The instance type is ecs.ebman1.26xlarge.",Dec 31 2019
Container Service for Kubernetes - Adds Support for Searching Nodes by Name or IP Address,Experience Enhancements,Container Service for Kubernetes now allows you to search nodes by name or IP address.,Features released: you can now search nodes by name or IP address on the Nodes page. This makes it easier to manage nodes in large-scale clusters.,Dec 31 2019
Container Service for Kubernetes - App Catalog Adds Support for Node Local DNS,New Features,Container Service for Kubernetes now provides node local DNS in App Catalog.,"Target customers: users who need to handle a large number of internal and external requests.
Features released: you can now enable node local DNS in the App Catalog section of the console. NodeLocalDNS sends internal DNS queries to CoreDNS and directly forwards external DNS queries to external DNS resolvers. Meanwhile, NodeLocalDNS caches all queries and provides DNS caching on each node. This dramatically improves the overall DNS query rate of the cluster.",Dec 31 2019
Key Management Service - Supports Asymmetric Keys of RSA and ECC Types,New Features,KMS supports hosting and cryptographic operations of asymmetric keys (of RSA and ECC types) in all regions to help customers implement digital signature and asymmetric data encryption.,"Target customers: a variety of enterprise businesses such as IT services, financial institutions, blockchain providers and users, and IoT. Enterprises can use asymmetric keys in a wide range of scenarios such as code signatures (container images), electronic payment, blockchain signature, IoT device signature, user-created CA for internal websites, mobile device management, and identity verification. Feature released: KMS supports hosting and cryptographic operations of asymmetric keys (of RSA and ECC types) in all regions to help customers implement digital signature and asymmetric data encryption. KMS supports hosting of RSA-type asymmetric keys. It supports mainstream RSA public key encryption algorithms and private key signature algorithms. You can also host ECC-type keys. KMS supports the NIST P-256 curve and the secp256k1 curve which is commonly used in blockchain. You can call the GetPublicKey operation to obtain the public key and then distribute it publicly. Public keys can be used to verify signatures generated by private keys or encrypt sensitive data. Only users with private key access permissions can generate signatures or decrypt sensitive data that is encrypted with public keys. KMS helps protect your private keys. You must call the AsymmetricSign or AsymmetricDecrypt operation to indirectly use private keys. KMS also provides the AsymmetricVerify and AsymmetricEncrypt operations for you to implement access control on public keys and audit the usage of public keys.",Jan 01 2020
"HybridDB for PostgreSQL - AnalyticDB PostgreSQL推出普惠型?例，?月最低860元
",New Features,,"AnalyticDB PostgreSQL 最新推出2?点?格，??例??2核、16GB?存、160GB SSD有效存?空?。最低月消?860元，?可支持 HTAP ?据?混合??。
AnalyticDB PostgreSQL ? MPP 架?，支持全?行分析?算，同?支持分布式下的?据?事?及隔???，具?高??事??吐能力，是云上?建分布式?据分析和交易?理的高性价比??。
",Jan 02 2020
ApsaraDB for PostgreSQL - RDS PostgreSQL 支持化?分析?件rdkit，支持分子?据存?、???分析,New Features,RDS PostgreSQL 支持化?分析?件rdkit，支持分子?据存?、???分析,"适用客?:??行?，??行?，化?分析行?等客?，需要用?据??化?分子式?行分析?客?。
?布功能:RDS PostgreSQL 支持化?分析?件rdkit，支持分子???据指?生成，存?、分子全、部分????、相似搜索，距??算?分析。
",Dec 31 2019
ApsaraDB for PostgreSQL - RDS PG ?布pg_roaringbitmap?件，支持??用??像圈??景,New Features,RDS PG V12?布pg_roaringbitmap?件，支持??用??像圈??景。,"适用客?:使用RDS PG用于TB????分析的客?，用??在10?左右，精准用???圈??景，。
?布功能:pg_roaringbitmap?件是PG的bitmap?件，支持bit的?、或、非、?或?算和聚合?算，以及bit的id??，解析等。特?适合??用??像圈??景，?合pg_roaringbitmap?件，可以????的用??像，精准圈?。
",Dec 31 2019
CloudMonitor - Additional Security and Performance Metrics for Web Application Firewall,New Features,"CloudMonitor collects additional security and performance metrics for Web Application Firewall (WAF), reports monitoring data, and generates alerts.","Target customers: WAF users.
Features released: CloudMonitor collects additional security and performance metrics of WAF. For example, the percentage of HTTP status code occurrences based on the total number of HTTP status code occurrences per minute, the percentage of blocked requests based on the total number of requests during the last five minutes, the percentage increase or decrease of queries per second (QPS) every minute on the minute, the number of blocked web application attacks during the last five minutes, and the percentage of blocked web application attacks based on the total number of requests during the last five minutes. You can make API requests to specify alert rules. CloudMonitor generates an alert when a metric value reaches the specified threshold. This allows you to obtain up-to-date information about the service performance and troubleshoot the detected issues at the earliest opportunity.
",Dec 31 2019
Threat Detection Service - Supports Playbooks,New Features,Security Center now supports playbooks for automated security operations. You can use a playbook to fix multiple vulnerabilities simultaneously.,"Target customers: Security Center Enterprise users.
Features released: Security Center supports playbooks for automated security operations. You can use a playbook to fix multiple vulnerabilities simultaneously.",Jan 09 2020
ElasticSearch - Supports Connecting to Kibana from Private Networks and Restart of Individual Nodes,New Features,"Alibaba Cloud Elasticsearch now allows you to restart an individual node instead of restarting the entire instance to resolve issues. To reinforce security, Alibaba Cloud Elasticsearch allows you to connect to Kibana from private networks.","Target customers: users that have higher requirements on O&M capabilities and instance security.
Features released: 1. Supports connecting to Kibana from private networks to reinforce security. You can enable or disable Kibana private access in Kibana settings on the Data Visualization page. 2. Improves O&M capabilities for individual nodes. You can restart an individual node instead of restarting the instance to save time. Alibaba Cloud Elasticsearch also supports blue-green deployment to update instance resources. 3. Supports maintenance window. To ensure the stability of your instance, the system maintains your instance irregularly. The default maintenance window is from 02:00 to 06:00. You can set the time window to off-peak hours to avoid adverse impacts on your workloads.",Jan 08 2020
ElasticSearch - Elastic Stack Upgraded for Support of Beats,New Features,Alibaba Cloud Elasticsearch now allows you to install and mange different types of Beats data shippers simultaneously. This makes it easier for you to import data from ECS instances to Alibaba Cloud Logstash and Elasticsearch.,"Target customers:1. Users who need to connect to and manage data in Elasticsearch, Logstash, and Kibana. 2. Users who need to collect logs, files, metric data, and monitoring data. 3. Users who have connected heavy workloads to Alibaba Cloud Elasticsearch and have high requirements on Beats and configurations.
Features released: 1. Supports multiple types of Beats data shippers, such as Metricbeat, Filebeat, Auditbeat, and Heartbeat. 2. Deploys shippers to multiple ECS instances simultaneously. You can select multiple ECS instances and then deploy shippers to these instances simultaneously. You can also monitor the installation and heartbeats of the Beats agents. It is suitable for connecting heavy workloads to Alibaba Cloud Elasticsearch. 3. Unified management. You can manage all of your Beats shippers on one page, and configure outputs to import data to Alibaba Cloud Logstash and Elasticsearch.",Jan 08 2020
Elastic Compute Service - Workbench Released,New Features,"Workbench is a versatile cloud-based terminal. Compared with VNC, Workbench is more efficient and convenient. Workbench allows multiple users to connect to one instance at the same time, and also provides a graphical interface to view and manage Linux and Windows file resources.","Target customers: developers and O&M administrators. Features released: Elastic Compute Service (ECS) now supports Workbench to help users connect to and manage ECS Linux and Windows instances. Workbench also provides many additional features such as copy and paste, file upload, and file download, offering user experience similar to local terminals.",Jan 01 2020
ApsaraDB for POLARDB - Supports A New Alert Rule,New Features,"CloudMonitor now supports a new alert rule for Apsara PolarDB for MySQL, which provides more alert indicators and better user experience.","Target customers: customers who use CloudMonitor and demand service stability.
Features released: CloudMonitor now supports a new alert rule for Apsara PolarDB for MySQL.",Jan 10 2020
Dataworks - Supports Creating and Managing MaxCompute Tables for DataAnalysis in All Regions,New Features,DataAnalysis now supports the feature of creating and managing MaxCompute tables. This feature allows users to manage MaxCompute tables by using the same method that is used to manage spreadsheets. This feature also enables users to perform collaborative editing. This feature reduces the skill requirements for managing MaxCompute table schema and data.,"Target customers: all the users who use and manage MaxCompute tables.
Features released: DataAnalysis now supports the feature of creating and managing MaxCompute tables. DataAnalysis is now released for commercial use in all regions. Note that MaxCompute tables in this topic refer to MaxCompute tables in the production environment.",Jan 10 2020
ApsaraDB for Redis - Supports Multi-threading Proxy Servers,New Features,"ApsaraDB for Redis supports multi-threading proxy servers to improve proxy performance, reduce the number of proxy servers required by a large cluster instance, and guarantee service stability.","Target customers: users of large cluster instances.
Features released: ApsaraDB for Redis supports multi-threading proxy servers. This can increase proxy performance and optimize short-lived connections.
",Jan 10 2020
MaxCompute - Supports New Data Types: DATE and CHAR,New Features,MaxCompute supports more data types and becomes more compatible with open source software to meet the needs of developers.,Target customers: Alibaba Cloud MaxCompute customers. Features released: MaxCompute V2.0 allows users to use data of DATE and CHAR types to create a table or read data of DATE and CHAR types from a table.,Jan 03 2020
"HybridDB for PostgreSQL - New Specification for HTAP of AnalyticDB for PostgreSQL with at least 2cores of a instance
",New Features,,"AnalyticDB PostgreSQL 最新推出2?点?格，??例??2核、16GB?存、160GB SSD有效存?空?。最低月消?860元，?可支持 HTAP ?据?混合??。
AnalyticDB PostgreSQL ? MPP 架?，支持全?行分析?算，同?支持分布式下的?据?事?及隔???，具?高??事??吐能力，是云上?建分布式?据分析和交易?理的高性价比??。
",Jan 02 2020
ApsaraDB for PostgreSQL - Supports PLV8 Version 2.3.13,New Features,ApsaraDB RDS for PostgreSQL 11 now supports the PLV8 extension version 2.3.13.,"Target customers: ApsaraDB RDS for PostgreSQL users who use PLV8 for stored procedure programming and function programming.
Features released: ApsaraDB RDS for PostgreSQL 11 supports the PLV8 extension of version 2.3.13. You can use the PLV8 language extension for stored procedure and function programming.",Jan 14 2020
ApsaraDB for PostgreSQL - test_decoding of wal2json Enhanced,New Features,ApsaraDB RDS for PostgreSQL 11 has enhanced the test_decoding module of wal2json to logically decode unchanged TOAST fields.,"Target customers: ApsaraDB RDS for PostgreSQL users who perform logical definition and replication operations.
Features released: ApsaraDB RDS for PostgreSQL 11 has enhanced the test_decoding module of wal2json to logically decode unchanged TOAST fields. Users who perform logical definition and replication operations can decode unchanged TOAST fields.",Jan 14 2020
ApsaraDB for PostgreSQL - Supports the Job-scheduling Extension pg_cron,New Features,ApsaraDB RDS for PostgreSQL 11 now supports the job-scheduling extension pg_cron to schedule jobs in databases.,"Target customers: ApsaraDB RDS for PostgreSQL users who perform scheduled jobs such as generating incremental business statistics, recycling, and creating partition tables.
Features released: ApsaraDB RDS for PostgreSQL 11 supports the job-scheduling extension pg_cron to schedule jobs in databases.",Jan 14 2020
ApsaraDB for PostgreSQL - Supports the log_fdw Extension for Real-time Log Queries,New Features,ApsaraDB RDS for PostgreSQL 11 now supports the log_fdw extension to query log information in real time.,"Target customers: all ApsaraDB RDS for PostgreSQL users.
Features released: ApsaraDB RDS for PostgreSQL 11 supports the log_fdw extension to query log information in real time. You can use the log_fdw extension to create an external table for logs generated by your databases, query logs through external tables, and execute SQL statements to analyze logs. You can also modify the rds_max_log_files parameter to set the number of logs retained by databases.",Jan 14 2020
"Data Transmission Service - Supports Schema Migration, Full Data Migration, and Incremental Data Migration for PostgreSQL V12",New Features,"You can use DTS to migrate schemas, full data, and incremental data between PostgreSQL databases V12.","Target customers: users who need to migrate and synchronize data between PostgreSQL databases V12.
Features released: You can use DTS to migrate schemas, full data, and incremental data between PostgreSQL databases V12.",Feb 06 2020
Data Transmission Service - Supports Instance-Level Authorization,New Features,DTS supports instance-level authorization.,"Target customers: users who need to isolate DTS instances that are owned by different RAM users.
Features released: You can grant permissions on a specific DTS instance to a RAM user. DTS provides the following types of permissions: access-denied, read-only, and operation-allowed. A RAM user can view or configure a DTS instance only if the RAM user is granted the required permissions. You can also use RAM roles to control the access of DTS instances.",Jan 17 2020
IoT Platform - Supports More Specific Status of Firmware Pending Update,Experience Enhancements,The status of device firmware pending update is now divided into the To Be Pushed state and the Pushed state.,"1. To Be Pushed means that the firmware download URL has not been pushed to the device. The reason is described in the status information.
2. Pushed means that the firmware download URL has been pushed to the device, but the device has not reported the update progress.",Jan 17 2020
IoT Platform - Supports Message Alerts for AMQP Service Subscriptions,New Features,You can configure monitoring alerts for consumer groups that have subscribed to the AMQP service on CloudMonitor.,"Target customers: users who use the AMQP service to subscribe to data reported by devices and send them to application servers.
Features released: 1. You can configure a threshold alert based on the number of accumulated messages in a consumer group.
2. You can configure a threshold alert based on the message consumption rate in a consumer group.",Jan 17 2020
IoT Platform - Optimizes SQL Debugging of The Rule Engine,Experience Enhancements,SQL debugging of the rule engine is optimized.,The SQL debugging console of the rule engine is optimized to allow quick verification of SQL statements with simulation data.,Jan 17 2020
IoT Platform - Definition of Product Features Now Supports Version Control,New Features,"Product definitions are divided into drafts and official running versions, and you can view historical versions.","Target customers: customers who use TSL models and want to manage their versions.
Features released: 1. Feature definition now includes a draft and a running version. You need to publish a draft to make the draft take effect.
2. A maximum of 10 versions can be retained, one official version and nine historical versions. You can switch to view these versions.
3. When you import TSL by copying another product, you can specify the TSL version of the product.",Jan 17 2020
IoT Platform - Supports Parsing Data From Custom Topics,New Features,You can now use the data parsing script to parse upstream and downstream data from custom topics.,"Target customers: users who want to structure data after uploading data to IoT Platform.
Features released: 1. If a device uploads data though a topic name that is appended with the ""_sn=default"" flag, IoT Platform automatically calls the corresponding function in the data parsing script of the product.
2. The device can upload raw data in custom formats, such as binary, string, and JSON.
3. The raw data can only be converted to the JSON format.",Jan 17 2020
Container Service for Kubernetes - Supports ServiceAccountTokenVolumeProjection on the Kubernetes API Server,New Features,Container Service for Kubernetes now allows you to enable ServiceAccountTokenVolumeProjection on the Kubernetes API server.,"Target customers: users who have high security requirements.
Features released: you can now enable the ServiceAccountTokenVolumeProjection option on the API server when you create a cluster. This enables service account authentication on pods. This option must be enabled in order to enable two-way TLS authentication on Istio through Secret Discovery Service (SDS).",Jan 31 2020
Container Service for Kubernetes - Sandboxed-Container Adds Support for More Storage Features,New Features,Sandboxed-Container now supports more storage features to suit different scenarios.,"Target customers: users whose workloads involve multiple tenants or require high security.
Features released: Sandboxed-Container further enhances cloud-native capabilities and supports cloud disks and NAS file systems to provide the same storage performance as when these storage services are used on virtual machines. Sandboxed-Container also supports RootFS BLKIO Limit and disk I/O throttling on pods. It now provides better support for workloads that involve multiple tenants.",Jan 31 2020
Container Service for Kubernetes - CSI Plug-ins Support More Features,New Features,Container Service for Kubernetes has improved CSI plug-ins to support more features.,"Target customers: all users.
Features released: CSI plug-ins now support the following features: 
? Support mounting OSS subdirectories to containers.
? Support the Memory type of emptyDir volumes. The Memory type volume represents a RAM-based temporary file system, whose storage space is limited by memory. This type of file system offers good performance and is typically used to provide cache space in containers.
? Support accelerated OSSFS transmission. OSSFS enables you to share data by mounting OSS buckets to local file systems in Linux. Container Service improves read speed to meet the needs of big data and AI scenarios by adjusting concurrency, block size, and libfuse configurations.
For more information, see https://github.com/kubernetes-sigs/alibaba-cloud-csi-driver.",Jan 31 2020
Container Service for Kubernetes - Virtual Nodes Support Access to ClusterIP Services by ECI Pods,New Features,Virtual nodes now allow ECI pods to access ClusterIP services.,"Target customers: users who have elastic computing needs.
Features released: ECI pods deployed on virtual nodes can now access ClusterIP services. This enables Kubernetes to centrally manage virtual nodes and elastic container groups. You can deploy applications on virtual nodes without the trouble of resource capacity planning. This meets the needs of scenarios such as online workload scaling, offline computing, and CI/CD, and effectively reduces overall computing costs. To enable this feature, log on to the console, choose App Catalog, and install plug-in ack-virtual-node.",Jan 31 2020
Container Service for Kubernetes - AGS Adds Support for Gene Sequencing Through API Operations,New Features,Alibaba Genomic Service (AGS) now allows you to execute gene sequencing tasks through API operations.,"Target customers: users who have gene sequencing needs, such as biological industry users.
Features released: Container Service for Kubernetes has released a set of API operations for gene computing. You can use these API operations to submit gene sequencing tasks. Task execution results are automatically uploaded to your OSS buckets. This saves you the trouble of cluster creation and task deployments. These APIs support different SLA levels and provide computing resources based on the actual needs, which meets your cost efficiency requirements. Currently, this feature is in public preview. To use the feature, submit a ticket.",Jan 31 2020
Container Service for Kubernetes - Releases Public Preview of Confidential Computing Clusters,New Features,Container Service for Kubernetes now releases public preview of confidential computing clusters.,"Target customers: users who have high requirements for data security, such as financial clients.
Features released: based on Intel Software Guard Extensions (SGX), confidential computing clusters are particularly suitable for sensitive data protection and scenarios such as smart contracts in blockchains, user secrets processing, intellectual property protection, genetic computing in bioinformatics, and edge computing. Currently, you can create confidential computing clusters, manually expand clusters, enable auto scaling, and add different types of nodes to clusters. For more information, see https://help.aliyun.com/document_detail/150518.html.
For more information about SGX application development, see https://developer.aliyun.com/article/740793.
Container Service for Kubernetes also provides open source plug-in sgx-device-plugin to help you deploy SGX applications on Kubernetes clusters. For more information, see https://github.com/AliyunContainerService/sgx-device-plugin.
Intel (R) Software Guard Extensions (Intel(R) SGX) is a set of central processing unit (CPU) instruction code developed by Intel. They allow developers to run application code and data in a special execution environment called enclave, which is built on hardware silos and memory encryption technology. Enclaves can also be referred to as Trusted Execution Environment (TEE). No other application, OS Kernel, BIOS, or hardware other than the CPU can access an enclave without verification. All data in enclave memory is encrypted. Users encrypt the code and data in an enclave with their private signing key obtained from Intel. An enclave can only be started after the signature is verified through remote certification service Intel IAS.",Jan 31 2020
